Index,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
0,1424696633908,1.42469663191325E+018,-5.958191,0.6880646,8.135345,a,nexus4,nexus4_1,stand
1,1424696633909,1.42469663191828E+018,-5.95224,0.6702118,8.136536,a,nexus4,nexus4_1,stand
2,1424696633918,1.42469663192329E+018,-5.9950867,0.6535492,8.204376,a,nexus4,nexus4_1,stand
3,1424696633919,1.42469663192839E+018,-5.9427185,0.6761627,8.128204,a,nexus4,nexus4_1,stand
4,1424696633929,1.42469663193342E+018,-5.991516,0.64164734,8.135345,a,nexus4,nexus4_1,stand
5,1424696633929,1.42469663193846E+018,-5.965332,0.6297455,8.128204,a,nexus4,nexus4_1,stand
6,1424696633938,1.42469663194352E+018,-5.991516,0.6356964,8.16272,a,nexus4,nexus4_1,stand
7,1424696633939,1.4246966319485E+018,-5.915344,0.63093567,8.105591,a,nexus4,nexus4_1,stand
8,1424696633951,1.42469663195359E+018,-5.984375,0.6940155,8.067505,a,nexus4,nexus4_1,stand
9,1424696633952,1.42469663196043E+018,-5.937958,0.71543884,8.090118,a,nexus4,nexus4_1,stand
10,1424696633959,1.42469663196366E+018,-5.902252,0.6678314,8.069885,a,nexus4,nexus4_1,stand
11,1424696633960,1.42469663196891E+018,-5.9498596,0.68092346,8.119873,a,nexus4,nexus4_1,stand
12,1424696633966,1.42469663197373E+018,-5.9796143,0.7416229,8.0841675,a,nexus4,nexus4_1,stand
13,1424696633972,1.42469663197877E+018,-5.9617615,0.71424866,8.155579,a,nexus4,nexus4_1,stand
14,1424696633978,1.42469663198381E+018,-5.95343,0.7130585,8.153198,a,nexus4,nexus4_1,stand
15,1424696633981,1.42469663198884E+018,-5.8665466,0.7344818,8.10083,a,nexus4,nexus4_1,stand
16,1424696633989,1.42469663199388E+018,-5.901062,0.7582855,8.081787,a,nexus4,nexus4_1,stand
17,1424696633991,1.42469663199906E+018,-5.8713074,0.7190094,8.192474,a,nexus4,nexus4_1,stand
18,1424696634003,1.42469663200395E+018,-5.932007,0.67259216,8.185333,a,nexus4,nexus4_1,stand
19,1424696634004,1.42469663201045E+018,-5.895111,0.6797333,8.132965,a,nexus4,nexus4_1,stand
20,1424696634007,1.42469663201402E+018,-5.8927307,0.68211365,8.155579,a,nexus4,nexus4_1,stand
21,1424696634018,1.42469663201905E+018,-5.848694,0.6511688,8.144867,a,nexus4,nexus4_1,stand
22,1424696634019,1.42469663202528E+018,-5.9236755,0.6868744,8.03418,a,nexus4,nexus4_1,stand
23,1424696634024,1.42469663202912E+018,-5.902252,0.64878845,8.150818,a,nexus4,nexus4_1,stand
24,1424696634028,1.42469663203422E+018,-5.927246,0.671402,8.03537,a,nexus4,nexus4_1,stand
25,1424696634033,1.42469663203926E+018,-5.9284363,0.6464081,8.134155,a,nexus4,nexus4_1,stand
26,1424696634039,1.42469663204432E+018,-5.9760437,0.6963959,8.093689,a,nexus4,nexus4_1,stand
27,1424696634042,1.42469663204936E+018,-5.9498596,0.671402,8.135345,a,nexus4,nexus4_1,stand
28,1424696634050,1.42469663205439E+018,-5.95224,0.6678314,8.159149,a,nexus4,nexus4_1,stand
29,1424696634054,1.42469663205943E+018,-5.940338,0.6142731,8.093689,a,nexus4,nexus4_1,stand
30,1424696634059,1.42469663206449E+018,-5.934387,0.64164734,8.182953,a,nexus4,nexus4_1,stand
31,1424696634064,1.4246966320695E+018,-5.9355774,0.67497253,8.136536,a,nexus4,nexus4_1,stand
32,1424696634068,1.42469663207453E+018,-5.9224854,0.63331604,8.129395,a,nexus4,nexus4_1,stand
