Index	Arrival_Time	Creation_Time	x	y	z	User	Model	Device	gt
0	1424696633909	1.42469663191404E+018	0.013748169	-0.0006256104	-0.023376465	a	nexus4	nexus4_1	stand
1	1424696633909	1.42469663191905E+018	0.014816284	-0.0016937256	-0.02230835	a	nexus4	nexus4_1	stand
2	1424696633918	1.42469663192405E+018	0.0158844	-0.0016937256	-0.021240234	a	nexus4	nexus4_1	stand
3	1424696633919	1.42469663192912E+018	0.016952515	-0.003829956	-0.02017212	a	nexus4	nexus4_1	stand
4	1424696633928	1.42469663193421E+018	0.0158844	-0.0070343018	-0.02017212	a	nexus4	nexus4_1	stand
5	1424696633930	1.42469663193919E+018	0.014816284	-0.009170532	-0.02230835	a	nexus4	nexus4_1	stand
6	1424696633938	1.42469663194432E+018	0.0116119385	-0.013442993	-0.02230835	a	nexus4	nexus4_1	stand
7	1424696633939	1.42469663194923E+018	0.0116119385	-0.014511108	-0.021240234	a	nexus4	nexus4_1	stand
9	1424696633952	1.42469663196119E+018	0.009475708	-0.016647339	-0.02230835	a	nexus4	nexus4_1	stand
8	1424696633952	1.42469663195445E+018	0.010543823	-0.016647339	-0.021240234	a	nexus4	nexus4_1	stand
10	1424696633960	1.42469663196443E+018	0.008407593	-0.015579224	-0.023376465	a	nexus4	nexus4_1	stand
11	1424696633960	1.42469663196968E+018	0.0062713623	-0.015579224	-0.023376465	a	nexus4	nexus4_1	stand
12	1424696633965	1.4246966319745E+018	0.005203247	-0.013442993	-0.019104004	a	nexus4	nexus4_1	stand
13	1424696633972	1.42469663197953E+018	0.004135132	-0.015579224	-0.021240234	a	nexus4	nexus4_1	stand
14	1424696633978	1.42469663198457E+018	0.005203247	-0.012374878	-0.02017212	a	nexus4	nexus4_1	stand
15	1424696633980	1.4246966319896E+018	0.004135132	-0.012374878	-0.019104004	a	nexus4	nexus4_1	stand
16	1424696633989	1.4246966319951E+018	0.005203247	-0.009170532	-0.018035889	a	nexus4	nexus4_1	stand
17	1424696633991	1.42469663199983E+018	0.0062713623	-0.008102417	-0.016967773	a	nexus4	nexus4_1	stand
19	1424696634003	1.42469663201121E+018	0.008407593	-0.0070343018	-0.0126953125	a	nexus4	nexus4_1	stand
18	1424696634003	1.42469663200483E+018	0.0073394775	-0.0059661865	-0.0126953125	a	nexus4	nexus4_1	stand
20	1424696634006	1.42469663201478E+018	0.009475708	-0.009170532	-0.010559082	a	nexus4	nexus4_1	stand
21	1424696634017	1.42469663201991E+018	0.009475708	-0.010238647	-0.011627197	a	nexus4	nexus4_1	stand
22	1424696634018	1.42469663202604E+018	0.0062713623	-0.013442993	-0.009490967	a	nexus4	nexus4_1	stand
23	1424696634024	1.42469663202989E+018	0.005203247	-0.016647339	-0.011627197	a	nexus4	nexus4_1	stand
